brand,country,month,alpha_norm,beta_norm
ABRRE,Arrakis,1.0,0.04155003872617658,0.07407290763980694
ABRRE,Beleria,1.0,0.04254102092133169,0.07368269876874745
ABRRE,Beleria,2.0,0.04259730229462452,0.07373772660706146
ABRRE,Beleria,3.0,0.03904931967273689,0.06844015569866457
ABRRE,Beleria,4.0,0.041686155422447684,0.061716178857648386
ABRRE,Beleria,5.0,0.042083863046068905,0.05762894710780611
ABRRE,Beleria,6.0,0.04141186613363125,0.054139395720969104
ABRRE,Beleria,7.0,0.042812928887405406,0.06509148185114176
ABRRE,Beleria,8.0,0.0435949986017116,0.06974734225025483
ABRRE,Beleria,9.0,0.04419323645922381,0.06148768593250153
ABRRE,Beleria,10.0,0.04313577316204454,0.07652789465924537
ABRRE,Beleria,11.0,0.041121900195212654,0.06144306132948814
ABRRE,Beleria,12.0,0.042646260435002005,0.07294819144021987
ABRRE,Braavos,2.0,0.0506888959675072,0.0344894703283356
ABRRE,Braavos,3.0,0.0506060778248707,0.03631858499789227
ABRRE,Braavos,4.0,0.05070127483662588,0.03380817791190531
ABRRE,Braavos,5.0,0.056371711577255415,0.039131763002284464
ABRRE,Braavos,6.0,0.04613012199193103,0.027581167368836902
ABRRE,Braavos,7.0,0.045574932725213436,0.028275445760440717
ABRRE,Braavos,8.0,0.051942191943744186,0.037188196961264026
ABRRE,Braavos,9.0,0.05020098787990535,0.02953550619510081
ABRRE,Braavos,10.0,0.04615007652621655,0.026976013865243016
ABRRE,Braavos,11.0,0.05179290623964277,0.027859176138874456
ABRRE,Braavos,12.0,0.052556537447571626,0.03304833821558028
ABRRE,Eriador,1.0,0.04448749489939014,0.0626803834487231
ABRRE,Eriador,2.0,0.04970837914250905,0.07056488585336661
ABRRE,Eriador,3.0,0.043867354516731856,0.0665225934260448
ABRRE,Eriador,4.0,0.04529100709116374,0.07415350733236763
ABRRE,Eriador,5.0,0.045117923594908925,0.06923795334193783
ABRRE,Eriador,6.0,0.044958376497968404,0.07165808309638079
ABRRE,Eriador,7.0,0.041563518608824776,0.06684681801926377
ABRRE,Eriador,8.0,0.042369821889388364,0.05565880811979118
ABRRE,Eriador,9.0,0.045014681329474934,0.07344101833416088
ABRRE,Eriador,10.0,0.04383714291619229,0.07138566990867395
ABRRE,Eriador,11.0,0.04709344158460207,0.06484451866453265
ABRRE,Eriador,12.0,0.05102087102563366,0.08762572602742302
ABRRE,Etheria,1.0,0.042814705761420116,0.09431837304947692
ABRRE,Etheria,2.0,0.04514484553782866,0.08307194045844515
ABRRE,Etheria,3.0,0.04063192317155456,0.08943650892392564
ABRRE,Etheria,5.0,0.041554545457816436,0.09238274975780372
ABRRE,Etheria,6.0,0.04168507592544409,0.09444118757648695
ABRRE,Etheria,7.0,0.04183383412221313,0.07102711837109928
ABRRE,Etheria,10.0,0.039124231909389365,0.08892399777696161
ABRRE,Etheria,11.0,0.04164170841062295,0.1010369573763018
ABRRE,Etheria,12.0,0.04396183539717864,0.09434172408486287
ABRRE,Gallifrey,3.0,0.04517612958137065,0.05092219718553883
ABRRE,Gallifrey,4.0,0.045902892741140386,0.034733981688290894
ABRRE,Gallifrey,5.0,0.048390033199510955,0.028016268567966553
ABRRE,Gallifrey,6.0,0.0438291826527163,0.034965923352747987
ABRRE,Gallifrey,7.0,0.04205170484901264,0.03161854247470789
ABRRE,Gallifrey,8.0,0.04569051820733451,0.03996021741411782
ABRRE,Gallifrey,9.0,0.04832630918894384,0.03024208616096621
ABRRE,Gallifrey,10.0,0.0481192074018268,0.0363743043054101
ABRRE,Gallifrey,11.0,0.050398878567101735,0.04175128245110544
ABRRE,Gondor,1.0,0.04418566641489258,0.04705703682780243
ABRRE,Gondor,2.0,0.049352710490594864,0.048470162452673216
ABRRE,Gondor,3.0,0.0446994833145518,0.043620380770149916
ABRRE,Gondor,4.0,0.04679296368330434,0.04690175657512763
ABRRE,Gondor,5.0,0.04531196005623552,0.04209726572598853
ABRRE,Gondor,6.0,0.04538901486012778,0.047002262959551476
ABRRE,Gondor,7.0,0.04403515232270847,0.04397266622819786
ABRRE,Gondor,8.0,0.04489173413678707,0.0447617063666256
ABRRE,Gondor,9.0,0.04604503098413284,0.04066581983947345
ABRRE,Gondor,10.0,0.044221714620842144,0.04389169221365416
ABRRE,Gondor,11.0,0.04550683880727482,0.04435804095372069
ABRRE,Gondor,12.0,0.0539888231394202,0.06378820650526046
ABRRE,Sokovia,1.0,0.0455601717711395,0.05885044884032694
ABRRE,Sokovia,2.0,0.04727326744706605,0.05423275930429651
ABRRE,Sokovia,3.0,0.0456486704857583,0.05058978607853699
ABRRE,Sokovia,4.0,0.04874525585033191,0.05517792499464749
ABRRE,Sokovia,5.0,0.049376656865731755,0.04977758201837468
ABRRE,Sokovia,6.0,0.04938687141909193,0.04954475995923616
ABRRE,Sokovia,7.0,0.04382269515099531,0.05630142230999479
ABRRE,Sokovia,8.0,0.04688017854275126,0.054221170268725694
ABRRE,Sokovia,9.0,0.044351987028976234,0.05313298584579809
ABRRE,Sokovia,10.0,0.04426005878198972,0.05136215957766794
ABRRE,Sokovia,11.0,0.04869774352909175,0.05388591464130927
ABRRE,Sokovia,12.0,0.047482995401939655,0.06087849372681271
ABRRE,Themyscira,1.0,0.04595873847224993,0.054204350781879684
ABRRE,Themyscira,2.0,0.04759292746864913,0.05395283913800501
ABRRE,Themyscira,3.0,0.04470125769639576,0.04992089995105434
ABRRE,Themyscira,4.0,0.04862109122161326,0.05636138709041912
ABRRE,Themyscira,5.0,0.04647275024193663,0.052908148064802867
ABRRE,Themyscira,6.0,0.04668827182484983,0.04573428847758419
ABRRE,Themyscira,7.0,0.042577148310652624,0.048850643073843646
ABRRE,Themyscira,8.0,0.044310357796931106,0.04503289464020308
ABRRE,Themyscira,9.0,0.044426087510589435,0.04500512816903709
ABRRE,Themyscira,10.0,0.04453168668237781,0.04531922103890316
ABRRE,Themyscira,11.0,0.04444933111088045,0.044623926476835614
ABRRE,Themyscira,12.0,0.04982845935199934,0.05909468422556307
ABRRE,Wakanda,1.0,0.043782311814437945,0.056919733924463284
ABRRE,Wakanda,2.0,0.05039985065482497,0.0659682232522514
ABRRE,Wakanda,3.0,0.0470571168087567,0.05759147488501275
ABRRE,Wakanda,4.0,0.04812188849354936,0.03648813182685789
ABRRE,Wakanda,5.0,0.045902508212823996,0.057649914929123754
ABRRE,Wakanda,6.0,0.04661935265426694,0.06456311482991198
ABRRE,Wakanda,7.0,0.04425580760527258,0.05495131461671541
ABRRE,Wakanda,8.0,0.04389912830401374,0.06981792786357176
ABRRE,Wakanda,9.0,0.044000288533932126,0.05320933405468708
ABRRE,Wakanda,10.0,0.044796936383265464,0.0575688219511629
ABRRE,Wakanda,11.0,0.04672776176125317,0.06328456483257998
ABRRE,Wakanda,12.0,0.04843308895330706,0.07398423066307645
AIMST,Aldovia,1.0,0.04688971242934079,0.030101158516523337
AIMST,Aldovia,2.0,0.04814357091936167,0.03570952293017859
AIMST,Aldovia,3.0,0.045483688113689275,0.03324903230046015
AIMST,Aldovia,4.0,0.049294006669494995,0.04103195304150945
AIMST,Aldovia,5.0,0.046451744928786086,0.03482093821683453
AIMST,Aldovia,6.0,0.047589292061864526,0.03650263870396008
AIMST,Aldovia,7.0,0.04303070325270671,0.033160545379356705
AIMST,Aldovia,8.0,0.04547487019289522,0.0335455276854523
AIMST,Aldovia,9.0,0.04765732739110528,0.0327817118126019
AIMST,Aldovia,10.0,0.04449636189012568,0.03730437937661109
AIMST,Aldovia,11.0,0.04650859212514781,0.03319831685419937
AIMST,Aldovia,12.0,0.05307691884528531,0.03175827075727903
AIMST,Atlantis,1.0,0.04556107292924549,0.05090813299714392
AIMST,Atlantis,2.0,0.047268537790216704,0.04912469267536219
AIMST,Atlantis,3.0,0.044938459316807754,0.04146537709421905
AIMST,Atlantis,4.0,0.04882250156991141,0.05185604334253174
AIMST,Atlantis,5.0,0.04870395717854671,0.042067184573168485
AIMST,Atlantis,6.0,0.04796121181766514,0.046472858737439116
AIMST,Atlantis,7.0,0.042339735636578224,0.040584430971079916
AIMST,Atlantis,8.0,0.04316959237948756,0.045165119720132325
AIMST,Atlantis,9.0,0.04458603776513121,0.04725444580666349
AIMST,Atlantis,10.0,0.04317940312989656,0.04488374450924386
AIMST,Atlantis,11.0,0.045434225778748845,0.046178435684346084
AIMST,Atlantis,12.0,0.05225270812246057,0.05403145976044282
AIMST,Beleria,1.0,0.042568879305115374,0.0603916537440857
AIMST,Beleria,2.0,0.03841756183534084,0.06807802490604468
AIMST,Braavos,2.0,0.05057870995102683,0.03749138877731717
AIMST,Braavos,3.0,0.05038986141569019,0.04203417680912561
AIMST,Braavos,4.0,0.05074582297993954,0.03291820408107571
AIMST,Braavos,5.0,0.057462419653265796,0.03983323714645461
AIMST,Braavos,6.0,0.04598333402056257,0.03262156968866151
AIMST,Braavos,7.0,0.04544503885062312,0.032630968748878754
AIMST,Braavos,8.0,0.051842867377087515,0.039761934282751106
AIMST,Braavos,9.0,0.04993031740960444,0.03756921222821435
AIMST,Braavos,10.0,0.04600559534866126,0.0319309811285175
AIMST,Braavos,11.0,0.05056827678717501,0.0377733223030629
AIMST,Braavos,12.0,0.051583600775651425,0.045666601112008626
AIMST,Coruscant,1.0,0.04636210716543567,0.04532088489892071
AIMST,Coruscant,2.0,0.04727078948036942,0.04560130976261059
AIMST,Coruscant,3.0,0.04359184379723666,0.04967095830244946
AIMST,Coruscant,4.0,0.04732410206566941,0.05360766015781673
AIMST,Coruscant,5.0,0.04824261700126589,0.05141904914284172
